Role,Skill
.NET Developer,C#
.NET Developer,VB.NET basics
.NET Developer,.NET Framework
.NET Developer,.NET Core fundamentals
.NET Developer,ASP.NET
.NET Developer,MVC
.NET Developer,HTML
.NET Developer,CSS
.NET Developer,JavaScript basics
.NET Developer,SQL Server
.NET Developer,Entity Framework basics
.NET Developer,LINQ
.NET Developer,Visual Studio
.NET Developer,Git
.NET Developer,Unit Testing basics
.NET Developer,.NET Framework basics
.NET Developer,Razor
.NET Developer,NUnit basics
.NET Developer,.NET Core
.NET Developer,ASP.NET MVC
.NET Developer,ASP.NET basics
.NET Developer,VB.NET
.NET Developer,.NET Core basics
.NET Developer,Entity Framework
.NET Developer,REST APIs
.NET Developer,Docker
.NET Developer,Azure
.NET Developer,ASP.NET Core
.NET Developer,Design Patterns
.NET Developer,SOLID Principles
.NET Developer,Azure DevOps
.NET Developer,F#
.NET Developer,Microservices
.NET Developer,Kubernetes
.NET Developer,WebAPI
.NET Developer,SignalR
.NET Developer,NoSQL
.NET Developer,Blazor
.NET Developer,Angular
.NET Developer,Dapper
.NET Developer,Testing with NUnit
.NET Developer,gRPC
.NET Developer,Testing with xUnit
.NET Developer,Moq
.NET Developer,CI/CD
AI Engineer - Fresher,Python
AI Engineer - Fresher,Java
AI Engineer - Fresher,C++
AI Engineer - Fresher,R
AI Engineer - Fresher,Supervised/Unsupervised Learning
AI Engineer - Fresher,Regression
AI Engineer - Fresher,Classification
AI Engineer - Fresher,Clustering
AI Engineer - Fresher,TensorFlow
AI Engineer - Fresher,PyTorch
AI Engineer - Fresher,Keras
AI Engineer - Fresher,Scikit-learn
AI Engineer - Fresher,Neural Networks
AI Engineer - Fresher,OpenCV
AI Engineer - Fresher,NLTK
AI Engineer - Fresher,Pandas
AI Engineer - Fresher,NumPy
AI Engineer - Fresher,SQL
AI Engineer - Fresher,MongoDB
AI Engineer - Fresher,NoSQL
AI Engineer - Experienced,Python
AI Engineer - Experienced,Java
AI Engineer - Experienced,C++
AI Engineer - Experienced,R
